nombre,tipo,telefono,direccion,municipio,departamento
STRIA MCPAL TTEyTTO ARJONA,Organismos de Tránsito,6292836,VIA LA TRONCAL DE OCCIDENTE CARRERA 47ª NO. 50 - 20 SAN JOSE DE TURBAQUITO,ARJONA,BOLÍVAR
STRIA MCPAL TTEyTTO MONTERIA,Organismos de Tránsito,7919802,CALLE 56 NO  61-74. PISO 2,MONTERIA,CÓRDOBA
STRIA MCPAL TTEyTTO PLANETA RICA,Organismos de Tránsito,7768203,CALLE 22 CON CARRERA 10 ESQUINA,PLANETA RICA,CÓRDOBA
STRIA MCPAL TTEyTTO SINCELEJO,Organismos de Tránsito,2823793,CARRERA 4 # 13-86,SINCELEJO,SUCRE
STRIA MCPAL TTO CALI,Organismos de Tránsito,4184215,CARRERA 3 NO. 56-90 BARRIO  SALOMIA BLOQUE DESPACHO SECRETARIO DE TRANSITO,CALI,VALLE DEL CAUCA
STRIA MCPAL TTO GRANADA,Organismos de Tránsito,6500004,CALLE 12 # 15-19 BARRIO BELÉN,GRANADA,META
STRIA MCPAL TTOyTTE BOSCONIA,Organismos de Tránsito,5779731,CARRERA 18 - CENTRO ADMINISTRATIVO MUNICIPAL DE BOSCONIA,BOSCONIA,CESAR
STRIA MCPAL TTOyTTE CAICEDONIA,Organismos de Tránsito,2164445,PARQUE AGROINDUSTRIAL - VIA  CAICEDONIA SEVILLA,CAICEDONIA,VALLE DEL CAUCA
STRIA MCPAL TTOyTTE CHINCHINA,Organismos de Tránsito,8504465,CARRERA 8 CALLE 11 ESQUINA - PALACIO MUNICIPAL,CHINCHINA,CALDAS
STRIA MCPAL TTOyTTE DOSQUEBRADAS,Organismos de Tránsito,3320564,CARRERA 16 NO. 36-44,DOSQUEBRADAS,RISARALDA
STRIA MCPAL TTOyTTE DUITAMA,Organismos de Tránsito,7630517,DIAGONAL 18 NO. 20 - 57,DUITAMA,BOYACÁ
STRIA MCPAL TTOyTTE EL CERRITO,Organismos de Tránsito,2571922,CALLE 6 NO. 10-53,EL CERRITO,VALLE DEL CAUCA
STRIA MCPAL TTOyTTE ESPINAL,Organismos de Tránsito,2390314,CALLE 8 NO. 6-15 - ALCALDIA MUNICIPAL,ESPINAL,TOLIMA
STRIA MCPAL TTOyTTE GALAPA,Organismos de Tránsito,3823373,BANDA IZQUIERDA CARRETERA LA CORDIALIDAD VIA GALAPA PARQUE INDUSTRIAL LOS VOLCANES LOCAL 3,GALAPA,ATLÁNTICO
STRIA MCPAL TTOyTTE GARZON,Organismos de Tránsito,8333383,CENTRO COMERCIAL PASEO DEL ROSARIO LOCAL 1 NO 055,GARZON,HUILA
STRIA MCPAL TTOyTTE GIRON,Organismos de Tránsito,6917272,CALLE 58 4-71 URBA. VEGAS VILLAMIZAR A 300 MTS DE CENFER EJE VIAL GIRON,GIRON,SANTANDER
STRIA MCPAL TTOyTTE HONDA,Organismos de Tránsito,2513171,CALLE 23 CARRERA 14 TERMINAL DE TRANSPORTE LOCAL 4 - 5,HONDA,TOLIMA
STRIA MCPAL TTOyTTE IBAGUE,Organismos de Tránsito,2669329,CARRERA 23 # 87-08 PARQUE INDUSTRIAL Y DE SERVICIOS PLUS +,IBAGUE,TOLIMA
STRIA MCPAL TTOyTTE LA PLATA,Organismos de Tránsito,8372955,KILOMETRO 1 VIA LA PLATA - NEIVA PARADOR TERMINAL DE TRANSPORTE,LA PLATA,HUILA
STRIA MCPAL TTOyTTE LA VIRGINIA,Organismos de Tránsito,3678503,CRA 8 N 5 35,LA VIRGINIA,RISARALDA
